epoch,auc,exact_match,learning_rate,loss,val_auc,val_exact_match,val_loss
0,0.6912009716033936,0.18609023094177246,0.0003000000142492354,0.8171550035476685,0.7307360172271729,0.2278645932674408,0.7850896120071411
1,0.8004816770553589,0.3054511249065399,0.0002999667776748538,0.6462252736091614,0.7268880605697632,0.19166666269302368,0.7788734436035156
2,0.8377584218978882,0.3633693754673004,0.0002998670970555395,0.5734797716140747,0.7266426086425781,0.24921874701976776,0.7706695199012756
3,0.8676860332489014,0.41623589396476746,0.00029970103059895337,0.5229806900024414,0.7442594170570374,0.26484376192092896,0.7615371942520142
4,0.8907711505889893,0.4717457592487335,0.00029946863651275635,0.4787464737892151,0.7653764486312866,0.27265626192092896,0.7501727938652039
5,0.9024117588996887,0.514274001121521,0.0002991700021084398,0.4575744569301605,0.7960813045501709,0.3283854126930237,0.7367051839828491
6,0.9244780540466309,0.5505756735801697,0.0002988053020089865,0.4092855453491211,0.8264832496643066,0.3635416626930237,0.7214169502258301
7,0.9337527751922607,0.5837640762329102,0.0002983746526297182,0.39044660329818726,0.8397907614707947,0.33125001192092896,0.7086760997772217
8,0.9435932040214539,0.6363369226455688,0.0002978782868012786,0.364511102437973,0.8690690994262695,0.34687501192092896,0.6916948556900024
9,0.9489010572433472,0.6473801732063293,0.00029731637914665043,0.3499421775341034,0.8808900117874146,0.34687501192092896,0.6771806478500366
10,0.9575297832489014,0.6897908449172974,0.0002966892207041383,0.32616180181503296,0.9043989181518555,0.34296876192092896,0.6585146188735962
11,0.9638272523880005,0.7383106350898743,0.00029599707340821624,0.3112506866455078,0.9107751846313477,0.3674479126930237,0.632606029510498
12,0.968646228313446,0.7517034411430359,0.00029524025740101933,0.2934972941875458,0.9245324730873108,0.3841145932674408,0.6086253523826599
13,0.9674437046051025,0.7387217879295349,0.0002944190928246826,0.2901832163333893,0.9331777095794678,0.4153645932674408,0.5660936832427979
14,0.9731572866439819,0.7769619226455688,0.00029353395802900195,0.274408221244812,0.9502619504928589,0.4554687440395355,0.5281907320022583
15,0.977939248085022,0.7717927694320679,0.00029258523136377335,0.259402334690094,0.9555816650390625,0.5033854246139526,0.503680408000946
16,0.9785188436508179,0.7938205003738403,0.00029157334938645363,0.25298523902893066,0.9564133286476135,0.5023437738418579,0.4806722104549408
17,0.9806225299835205,0.8060973286628723,0.0002904987195506692,0.24810542166233063,0.9681918621063232,0.6177083253860474,0.4432525634765625
18,0.9828351736068726,0.8243656158447266,0.0002893618948291987,0.23962092399597168,0.9714691638946533,0.6255208253860474,0.3994144797325134
